keys,en,es,ja,ca
INTRO_DIALOG_0,Oh! My parents left me in charge of the farm..,¡Oh! Mis padres me dejaron a cargo de la granja...,あっ！赤ちゃんが生まれたから、両親はいなくなっちゃった！,Oh! Els meus pares m'han deixat a càrrec de la granja...
INTRO_DIALOG_1,What can I do all by myself?,¿Qué puedo hacer yo sola?,私はどうしたらいいの？,Com ho faré tot sola?
INTRO_DIALOG_2,It is too much work in the farm...,Hay demasiado trabajo en la granja...,農場の仕事が多すぎるよ！,Hi ha molt treball a la granja...
INTRO_DIALOG_3,If only someone could help me!,¡Si alguien pudiera ayudarme!,誰か助けてくれたらいいのに！,Si tan sols algú pogués ajudar-me...
INTRO_DIALOG_4,You see? I was right. She is alone and needs help!,¿Lo ves? Tenía razón. ¡Está sola y necesita nuestra ayuda!,ほらね？言った通りだ。彼女は一人で助けが必要だ！,Ho veus? Tenia raó! Està sola i necessita la nostra ajuda
INTRO_DIALOG_5,You are right! Let's send the newbie to help her,¡Tienes razón! Enviemos a la novata para ayudarla,その通り！新人を送って手伝わせよう。,Tota la raó! Enviem a la novençana perquè l'ajudi
INTRO_DIALOG_6,"Come on, don't be shy! Help her!","¡Venga, no seas tímida! ¡Ayúdala!",そこのあなた！恥ずかしがらないで！手伝って！,"Vinga va, no siguis tímida! Ajúdala"
INTRO_DIALOG_6,"Me? Are you sure? Well, okay...","¿Yo? ¿Seguras? Bueno, vale...",私？本当に？？わ、わかりました。。。,"Jo? De debò? Bé, d'acord..."
INTRO_DIALOG_7,Hello little girl!,"¡Hola, pequeña!",こんにちは、小さな女の子！,"¡Hola, petitona!"
INTRO_DIALOG_8,A fairy!,¡Un hada!,妖精だ！,Una fada!
INTRO_DIALOG_9,Yes! We are from the FCI and we are here to help you!,¡Sí! Somos de la FCI y hemos venido a ayudarte,そう！私たちはFCIから来て、あなたを助けに来たの！,Sí! Som de la FCI i hem vingut a ajudar-te
INTRO_DIALOG_10,Oh! Thank you fairy! I have so much work in the farm...,¡Oh! ¡Gracias hada! Tengo tanto trabajo en la granja...,わあ！ありがとう妖精さん！農場の仕事がたくさんあるの！,Oh! Gràcies fada. Tinc tant treball a la granja...
INTRO_DIALOG_11,We can do any kind of work.  Guide us to the farm!,Podemos hacer cualquier tipo de trabajo. ¡Guíanos a la granja!,どんな仕事でもできるよ！農場へ案内して！,Podem fer qualsevol tipus de treball. Guia'ns a la teva granja!
INTRO_DIALOG_12,Thank you! Follow me!,¡Gracias! ¡Seguirme!,ありがとう！ついてきて！,¡Gràcies! Seguiu-me!
INTRO_DIALOG_13,To the faaaaarm!,¡A la granjaaaaa!,牧場へ！,"Som-hi, a la granjaaaa!"
OUTRO_DIALOG_0,Wow! That was a lot of work!,¡Wow! ¡Hemos trabajado mucho!,わあ！すごい量の仕事だったね！,Wow! Hem treballat moltíssim!
OUTRO_DIALOG_1,But you did very well newbie,Pero lo hiciste muy bien novata,でも新人、よくやったよ！,Però ho has fet genial novençana
OUTRO_DIALOG_2,Newbie no more!,¡Ya no es novata!,もう新人じゃない！,Ja no és novençana!
